cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,polintr,psppsgva,actrolga,psppipla,cptppola,polcmpl,trstprl,trstlgl,trstplt,trstprt,lrscale,stfeco,stfgov,stfdem,stfedu,gincdif,prtyban,prtvtdru,ctzcntr,atchctr,edulvla,eduyrs,mainact,emplrel,iorgact,uemp5yr,hinctnta,hincfel
RU,ESS1-9e01,1.0,10.12.2020,368331,ESS8e02_2,8,2.2,172,1.4283961057663,2.2903311252594,4.985758313,11.4190374472847,4,2,3,1,1,,2,2,3,3,5,9,10,6,8,2,,66,1,10,2,10,66,6,66,6,88,2
RU,ESS1-9e01,1.0,10.12.2020,368332,ESS8e02_2,8,2.2,173,0.952264070510864,0.283493041992188,4.985758313,1.41342779079021,1,1,5,1,5,,0,0,3,2,5,0,0,0,0,1,,1,1,10,5,20,6,1,5,1,1,4
RU,ESS1-9e01,1.0,10.12.2020,368333,ESS8e02_2,8,2.2,174,0.476132035255432,0.236090049147606,4.985758313,1.17708792515425,1,7,4,1,4,,5,5,5,5,5,0,0,4,5,3,,13,1,0,5,16,1,1,5,6,6,2
RU,ESS1-9e01,1.0,10.12.2020,368334,ESS8e02_2,8,2.2,175,1.4283961057663,0.425239652395248,4.985758313,2.12014213194684,2,3,2,2,1,,2,0,2,2,4,1,3,4,2,1,,1,1,7,5,13,66,3,0,6,10,2
RU,ESS1-9e01,1.0,10.12.2020,368335,ESS8e02_2,8,2.2,183,0.476132035255432,0.236090049147606,4.985758313,1.17708792515425,1,1,1,1,1,,3,0,88,5,5,3,88,3,3,1,,11,1,10,5,11,66,1,5,2,3,1
RU,ESS1-9e01,1.0,10.12.2020,368336,ESS8e02_2,8,2.2,184,0.476132035255432,0.21773624420166,4.985758313,1.08558028956983,1,4,2,3,3,,8,8,9,7,8,8,9,8,7,3,,1,1,10,5,11,66,1,6,6,8,2
RU,ESS1-9e01,1.0,10.12.2020,368337,ESS8e02_2,8,2.2,185,0.952264070510864,0.283493041992188,4.985758313,1.41342779079021,3,2,1,1,1,,7,7,6,6,88,4,4,5,7,2,,13,1,8,5,15,66,1,0,6,88,3
RU,ESS1-9e01,1.0,10.12.2020,368338,ESS8e02_2,8,2.2,186,0.952264070510864,0.383905321359634,4.985758313,1.91405914737373,2,1,2,2,2,,3,3,3,3,7,3,3,2,3,2,,17,1,8,5,18,66,1,2,2,9,1
RU,ESS1-9e01,1.0,10.12.2020,368339,ESS8e02_2,8,2.2,196,0.952264070510864,0.496314823627472,4.985758313,2.4745057577658,2,3,4,2,3,,3,2,1,0,88,6,3,4,3,2,,1,1,2,5,13,66,1,4,2,10,1
RU,ESS1-9e01,1.0,10.12.2020,368340,ESS8e02_2,8,2.2,197,0.476132035255432,1.62601888179779,4.985758313,8.1069371570183,3,1,3,3,4,,6,6,5,5,5,2,2,2,2,2,,66,1,8,3,14,66,1,6,6,77,7
RU,ESS1-9e01,1.0,10.12.2020,368341,ESS8e02_2,8,2.2,198,0.952264070510864,0.746752023696899,4.985758313,3.72312510989639,3,3,2,1,2,,2,7,2,2,8,5,88,5,5,1,,66,1,10,5,16,66,1,4,6,77,7
RU,ESS1-9e01,1.0,10.12.2020,368342,ESS8e02_2,8,2.2,199,0.476132035255432,1.62601888179779,4.985758313,8.1069371570183,3,1,3,2,1,,8,6,8,6,7,8,8,5,6,3,,66,1,5,3,12,66,1,3,6,10,2
RU,ESS1-9e01,1.0,10.12.2020,368343,ESS8e02_2,8,2.2,200,0.952264070510864,0.283493041992188,4.985758313,1.41342779079021,3,3,2,3,2,,3,4,2,2,4,5,3,3,4,2,,66,1,3,5,18,66,1,4,6,6,3
